3548,0,520.5
3310.5,1175,465
1047.5,3263.5,615
3704,1286,347.5
1378.5,1648,404
1849.5,1020.5,428.5
1243,2000.5,763.5
1836,1219.5,543
2168,1038.5,386
2052,1397.5,648
3218,582,372
2792,1109,459
2185,1084.5,642.5
1193.5,1718,605
2474.5,1144.5,543.5
2045,2156,614.5
2247.5,2177,545
3956,150,417.5
1581,1678,461
1824.5,1081,581
1652,2189.5,574.5
2336.5,1010.5,612
1772,1751,636.5
1841.5,2004.5,642
3235.5,648,501.5
2773.5,1731,485.5
1110,2221.5,573.5
1626,1872,610
2892.5,875,516
1260.5,2008.5,562.5
915.5,1665.5,611
4338.5,945.5,615.5
1700.5,2387,488.5
1952.5,1883.5,550.5
610,2199,632.5
1145,1193.5,610
1487.5,1210.5,645
1930,1280.5,602.5
2801,1886,630
2061.5,1382.5,501
2437.5,1153,521.5
1822,1009.5,637.5
2760,616,521.5
888,1814,260
2596,1977.5,520
3151,800,606
1755,1805.5,551
1985,1742,455
2130,1540,585
1427.5,1392.5,530
1780,1159,510
1712,1638,500
3493.5,1399,562
2337,1271.5,643.5
1424,1967,587
1480.5,2275.5,604
2036.5,1489,626
2520,1728.5,576.5
1309,1981.5,520
4418,378,419
1428.5,1479,418
1671,1395.5,438.5
1901,1172.5,371
1859,1322.5,461
1921,1414.5,509
1379,1598,521
3958,821,589
2335,1023,608
1568,1418.5,335
2264,1180,408
1917.5,1012.5,363
1848.5,1739.5,517.5
2720,1649.5,553.5
2291.5,1931,620
2673,1560,491.5
1599.5,1198.5,423
2209,1270,599.5
1470.5,1749.5,509
2215,1466,470.5
1924,1593,715
4141,352,324
1420.5,1448,541
933,1762,470.5
918.5,1581,433
2007,1325,568.5
1721,1660,507
2144,1591,322
3145,1552,424
2257.5,948,345
1398,1606.5,357.5
1104.5,2588.5,488
1925,2884,504.5
2712,981,420
2151.5,1357,492
1334,0,501.5
3578,502,534
1365,1697,418
1618,1832,525
1558,1499.5,418
1326,1664.5,458
1799.5,2086,326
3817,874,499.5
1269.5,1325,430
1235,1656,469.5
1187.5,1917.5,435
1617,1315.5,487.5
1199,2123.5,527
667,2957,499
3002,784,467
1125,1989.5,402
1282.5,1479.5,530
1750,1106,382.5
1675,1376,556
2297,1293.5,475
971,1950.5,397
2674,1464,371
1955.5,1510.5,549
967.5,1910,405.5
1438.5,2317,467.5
1435,1433,438.5
2960,1128,435
1519,1576,395
3037,165,419
2118,1106,437
2002,897.5,518
1069,1625,402
1180.5,1817.5,369
1770,1613.5,380.5
1602,2112.5,580
3229.5,630,625
2204,591,405
1300,1619,404
